raw,filtered,baseline,delta,event,coin_in,state
35587,35787,35873,-86,0,0,1
35766,35785,35873,-88,0,0,1
35706,35777,35873,-96,0,0,1
35746,35774,35872,-99,0,0,1
36361,35832,35873,-41,0,0,1
35885,35838,35873,-36,0,0,1
35587,35813,35873,-60,0,0,1
35746,35806,35872,-67,0,0,1
35666,35792,35872,-80,0,0,1
35766,35789,35872,-83,0,0,1
35766,35787,35872,-85,0,0,1
35706,35779,35871,-92,0,0,1
35706,35772,35871,-99,0,0,1
35766,35771,35871,-100,0,0,1
35805,35774,35871,-96,0,0,1
35845,35781,35871,-89,0,0,1
36203,35824,35871,-48,0,0,1
35706,35812,35871,-59,0,0,1
36004,35831,35871,-40,0,0,1
35845,35832,35871,-39,0,0,1
35865,35836,35871,-35,0,0,1
35746,35827,35871,-44,0,0,1
35845,35829,35871,-42,0,0,1
35746,35820,35871,-50,0,0,1
35766,35815,35870,-56,0,0,1
35706,35804,35870,-66,0,0,1
35706,35794,35870,-76,0,0,1
35885,35803,35870,-67,0,0,1
36401,35863,35871,-8,0,0,1
35746,35851,35871,-19,0,0,1
35925,35859,35871,-12,0,0,1
35766,35849,35871,-21,0,0,1
35706,35835,35870,-35,0,0,1
35805,35832,35870,-38,0,0,1
35746,35823,35870,-46,0,0,1
35746,35816,35870,-54,0,0,1
35666,35801,35869,-69,0,0,1
35706,35791,35869,-78,0,0,1
35805,35793,35869,-76,0,0,1
35845,35798,35869,-71,0,0,1
36342,35852,35870,-17,0,0,1
35805,35848,35870,-22,0,0,1
35885,35851,35870,-18,0,0,1
35766,35843,35869,-27,0,0,1
35865,35845,35869,-24,0,0,1
35746,35835,35869,-34,0,0,1
35746,35826,35869,-43,0,0,1
35885,35832,35869,-37,0,0,1
35805,35829,35869,-39,0,0,1
35706,35817,35868,-51,0,0,1
35706,35806,35868,-62,0,0,1
35805,35806,35868,-62,0,0,1
36262,35851,35869,-17,0,0,1
35805,35847,35869,-22,0,0,1
35845,35847,35869,-22,0,0,1
35805,35842,35869,-26,0,0,1
35805,35839,35868,-30,0,0,1
35627,35818,35868,-50,0,0,1
35706,35806,35868,-61,0,0,1
35746,35800,35867,-67,0,0,1
35706,35791,35867,-76,0,0,1
35647,35776,35867,-90,0,0,1
35706,35769,35866,-97,0,0,1
36203,35813,35867,-54,0,0,1
35805,35812,35867,-55,0,0,1
35706,35801,35867,-65,0,0,1
35805,35802,35866,-65,0,0,1
35845,35806,35866,-60,0,0,1
35905,35816,35866,-51,0,0,1
35706,35805,35866,-61,0,0,1
35746,35799,35866,-67,0,0,1
35805,35800,35866,-66,0,0,1
35746,35794,35866,-71,0,0,1
35845,35799,35866,-66,0,0,1
35627,35782,35865,-83,0,0,1
36501,35854,35866,-12,0,0,1
35766,35845,35866,-21,0,0,1
35746,35835,35866,-31,0,0,1
35746,35826,35866,-39,0,0,1
35706,35814,35865,-51,0,0,1
35706,35803,35865,-62,0,0,1
35706,35794,35865,-71,0,0,1
35746,35789,35864,-75,0,0,1
35805,35791,35864,-74,0,0,1
35885,35800,35864,-64,0,0,1
35746,35795,35864,-70,0,0,1
35845,35800,35864,-64,0,0,1
36183,35838,35865,-27,0,0,1
35647,35819,35864,-45,0,0,1
35805,35817,35864,-47,0,0,1
35766,35812,35864,-52,0,0,1
35845,35816,35864,-48,0,0,1
35805,35815,35864,-49,0,0,1
35706,35804,35864,-60,0,0,1
35885,35812,35864,-52,0,0,1
35706,35801,35863,-62,0,0,1
35805,35802,35863,-62,0,0,1
35666,35788,35863,-75,0,0,1
36222,35831,35864,-32,0,0,1
35805,35829,35863,-35,0,0,1
35845,35830,35863,-33,0,0,1
35706,35818,35863,-45,0,0,1
35865,35823,35863,-40,0,0,1
35805,35821,35863,-42,0,0,1
35805,35819,35863,-44,0,0,1
35746,35812,35863,-51,0,0,1
35805,35811,35862,-51,0,0,1
35766,35807,35862,-55,0,0,1
35706,35797,35862,-65,0,0,1
35706,35788,35862,-74,0,0,1
35865,35795,35862,-66,0,0,1
36342,35850,35863,-13,0,0,1
35805,35846,35862,-17,0,0,1
35805,35841,35862,-21,0,0,1
35766,35834,35862,-28,0,0,1
35805,35831,35862,-31,0,0,1
35706,35818,35862,-43,0,0,1
35885,35825,35862,-37,0,0,1
35666,35809,35861,-52,0,0,1
35706,35799,35861,-62,0,0,1
35746,35794,35861,-67,0,0,1
35746,35789,35861,-72,0,0,1
35706,35781,35860,-80,0,0,1
36262,35829,35861,-32,0,0,1
35845,35830,35861,-31,0,0,1
35766,35824,35861,-37,0,0,1
35706,35812,35861,-49,0,0,1
35805,35811,35860,-49,0,0,1
35805,35811,35860,-50,0,0,1
35805,35810,35860,-50,0,0,1
35845,35814,35860,-47,0,0,1
35766,35809,35860,-51,0,0,1
35766,35805,35860,-55,0,0,1
35746,35799,35860,-61,0,0,1
35706,35789,35859,-70,0,0,1
36361,35847,35860,-14,0,0,1
35885,35850,35860,-10,0,0,1
35905,35856,35860,-5,0,0,1
35805,35851,35860,-10,0,0,1
35845,35850,35860,-10,0,0,1
35805,35846,35860,-15,0,0,1
35805,35842,35860,-19,0,0,1
35706,35828,35860,-32,0,0,1
35805,35826,35860,-34,0,0,1
35805,35824,35860,-36,0,0,1
35706,35812,35859,-47,0,0,1
35746,35805,35859,-54,0,0,1
35666,35791,35859,-67,0,0,1
36222,35834,35859,-25,0,0,1
35706,35822,35859,-38,0,0,1
35805,35820,35859,-39,0,0,1
35706,35809,35859,-50,0,0,1
35746,35802,35858,-56,0,0,1
35805,35803,35858,-56,0,0,1
35706,35793,35858,-65,0,0,1
35666,35780,35858,-78,0,0,1
35805,35783,35858,-75,0,0,1
35805,35785,35858,-73,0,0,1
35706,35777,35857,-80,0,0,1
35885,35788,35857,-69,0,0,1
35647,35774,35857,-83,0,0,1
36123,35809,35857,-49,0,0,1
35746,35802,35857,-55,0,0,1
35706,35793,35857,-64,0,0,1
35766,35790,35857,-67,0,0,1
35746,35786,35856,-71,0,0,1
35845,35792,35856,-65,0,0,1
35587,35771,35856,-85,0,0,1
35885,35782,35856,-74,0,0,1
35647,35769,35856,-87,0,0,1
35805,35773,35855,-83,0,0,1
35706,35766,35855,-89,0,0,1
35706,35760,35855,-95,0,0,1
35746,35758,35855,-96,0,0,1
36183,35801,35855,-54,0,0,1
35944,35815,35855,-40,0,0,1
35746,35808,35855,-47,0,0,1
35805,35808,35855,-47,0,0,1
35845,35812,35855,-43,0,0,1
35746,35805,35855,-50,0,0,1
35805,35805,35855,-50,0,0,1
35746,35799,35855,-55,0,0,1
35845,35804,35855,-51,0,0,1
35845,35808,35855,-47,0,0,1
35746,35802,35854,-53,0,0,1
35805,35802,35854,-52,0,0,1
36262,35848,35855,-7,0,0,1
35766,35840,35855,-15,0,0,1
35845,35840,35855,-15,0,0,1
35845,35841,35855,-14,0,0,1
35805,35837,35855,-18,0,0,1
35706,35824,35854,-30,0,0,1
35845,35826,35854,-28,0,0,1
35706,35814,35854,-40,0,0,1
35805,35813,35854,-41,0,0,1
35706,35803,35854,-51,0,0,1
35627,35785,35853,-68,0,0,1
35706,35777,35853,-76,0,0,1
35706,35770,35853,-83,0,0,1
36342,35827,35854,-27,0,0,1
35706,35815,35853,-38,0,0,1
35746,35808,35853,-45,0,0,1
35706,35798,35853,-55,0,0,1
35746,35793,35853,-60,0,0,1
35766,35790,35853,-63,0,0,1
35746,35786,35852,-67,0,0,1
35746,35782,35852,-70,0,0,1
35766,35780,35852,-72,0,0,1
35805,35783,35852,-69,0,0,1
35865,35791,35852,-61,0,0,1
35766,35788,35852,-63,0,0,1
36163,35826,35852,-27,0,0,1
35885,35832,35852,-21,0,0,1
35647,35813,35852,-39,0,0,1
35805,35812,35852,-40,0,0,1
35766,35808,35852,-44,0,0,1
35805,35808,35852,-44,0,0,1
35845,35811,35852,-40,0,0,1
35746,35805,35851,-47,0,0,1
35845,35809,35852,-43,0,0,1
35647,35793,35851,-59,0,0,1
35746,35788,35851,-63,0,0,1
35706,35780,35851,-71,0,0,1
35706,35772,35850,-78,0,0,1
36421,35837,35851,-14,0,0,1
35805,35834,35851,-17,0,0,1
35805,35831,35851,-20,0,0,1
35766,35825,35851,-27,0,0,1
35706,35813,35851,-38,0,0,1
35706,35802,35851,-49,0,0,1
35587,35780,35850,-70,0,0,1
35706,35773,35850,-77,0,0,1
35627,35758,35849,-91,0,0,1
35746,35757,35849,-92,0,0,1
35666,35748,35849,-101,0,0,1
35706,35744,35849,-105,0,0,1
35766,35746,35848,-102,0,0,1
36143,35786,35849,-63,0,0,1
35805,35788,35849,-61,0,0,1
35805,35789,35849,-59,0,0,1
35647,35775,35848,-73,0,0,1
35706,35768,35848,-80,0,0,1
35746,35766,35848,-82,0,0,1
35766,35766,35848,-82,0,0,1
35706,35760,35847,-87,0,0,1
35805,35765,35847,-83,0,0,1
35746,35763,35847,-85,0,0,1
35706,35757,35847,-90,0,0,1
35805,35762,35847,-85,0,0,1
36342,35820,35848,-28,0,0,1
35885,35813,35805,8,0,0,0
36361,35868,35806,62,0,0,0
36361,35917,35807,110,0,0,0
21686,34494,35779,-1285,0,1,0
36361,34681,35780,-1100,1,0,1
36361,34849,35782,-933,0,0,1
35885,34952,35782,-829,0,0,1
35805,35038,35782,-744,0,0,1
35845,35118,35782,-664,0,0,1
35805,35187,35782,-595,0,0,1
35805,35249,35782,-533,0,0,1
35766,35301,35782,-481,0,0,1
35805,35351,35782,-431,0,0,1
35746,35390,35782,-391,0,0,1
35845,35436,35782,-346,0,0,1
35805,35473,35782,-309,0,0,1
35845,35510,35782,-272,0,0,1
36342,35593,35783,-190,0,0,1
35885,35622,35784,-161,0,0,1
35805,35641,35784,-143,0,0,1
35964,35673,35784,-111,0,0,1
35805,35686,35784,-98,0,0,1
35885,35706,35784,-78,0,0,1
35805,35716,35784,-68,0,0,1
35805,35725,35784,-59,0,0,1
35766,35729,35784,-55,0,0,1
35805,35737,35784,-48,0,0,1
35805,35743,35784,-41,0,0,1
35845,35754,35785,-31,0,0,1
36322,35810,35786,25,0,0,1
35885,35818,35786,32,0,0,1
35845,35821,35786,35,0,0,1
35805,35819,35786,33,0,0,1
35845,35822,35786,36,0,0,1
35845,35824,35786,38,0,0,1
35865,35828,35786,42,0,0,1
35805,35826,35786,39,0,0,1
35805,35824,35786,37,0,0,1
35746,35816,35786,30,0,0,1
35805,35815,35786,28,0,0,1
35805,35814,35786,27,0,0,1
36481,35881,35788,93,0,0,1
35885,35881,35788,93,0,0,1
35885,35881,35788,93,0,0,1
35805,35874,35788,85,0,0,1
35845,35871,35788,82,0,0,1
35805,35864,35788,76,0,0,1
35805,35858,35789,70,0,0,1
35845,35857,35789,68,0,0,1
35805,35852,35789,63,0,0,1
35805,35847,35789,58,0,0,1
35885,35851,35789,62,0,0,1
35766,35842,35789,54,0,0,1
35766,35835,35789,46,0,0,1
36342,35886,35790,96,0,0,1
35925,35889,35790,99,0,0,1
35805,35881,35790,91,0,0,1
35845,35877,35790,87,0,0,1
35845,35874,35790,84,0,0,1
35885,35875,35791,85,0,0,1
35885,35876,35791,85,0,0,1
35845,35873,35791,82,0,0,1
35805,35866,35791,75,0,0,1
35706,35850,35791,59,0,0,1
35805,35846,35791,55,0,0,1
35706,35832,35791,41,0,0,1
36481,35897,35792,105,0,0,1
35885,35896,35792,103,0,0,1
35885,35894,35792,102,0,0,1
35706,35876,35792,83,0,0,1
35865,35875,35792,82,0,0,1
35766,35864,35792,71,0,0,1
35845,35862,35792,69,0,0,1
35805,35856,35792,64,0,0,1
35805,35851,35793,58,0,0,1
35805,35846,35793,54,0,0,1
35805,35842,35793,50,0,0,1
35805,35839,35793,46,0,0,1
35845,35839,35793,46,0,0,1
36421,35897,35794,103,0,0,1
35964,35904,35794,110,0,0,1
35845,35898,35794,104,0,0,1
35845,35893,35795,98,0,0,1
35766,35880,35795,86,0,0,1
35865,35879,35795,84,0,0,1
35746,35865,35795,71,0,0,1
35845,35863,35795,69,0,0,1
35666,35844,35794,49,0,0,1
35805,35840,35794,45,0,0,1
35805,35836,35794,42,0,0,1
35845,35837,35795,43,0,0,1
36242,35878,35795,82,0,0,1
35944,35884,35796,88,0,0,1
35805,35876,35796,81,0,0,1
35805,35869,35796,73,0,0,1
35706,35853,35796,57,0,0,1
35805,35848,35796,52,0,0,1
35865,35850,35796,54,0,0,1
36044,35869,35796,73,0,0,1
35885,35871,35796,74,0,0,1
35944,35878,35797,81,0,0,1
35885,35879,35797,82,0,0,1
35805,35871,35797,74,0,0,1
36262,35910,35798,113,0,0,1
36044,35924,35798,125,0,0,1
35944,35926,35799,127,0,0,1
35925,35926,35799,127,0,0,1
35845,35918,35799,119,0,0,1
35925,35918,35799,119,0,0,1
35865,35913,35799,114,0,0,1
35905,35912,35800,113,0,0,1
35805,35902,35800,102,0,0,1
35944,35906,35800,106,0,0,1
35766,35892,35800,92,0,0,1
35746,35877,35800,77,0,0,1
36361,35926,35801,125,0,0,1
35885,35922,35801,120,0,0,1
36004,35930,35802,128,0,0,1
35805,35917,35802,116,0,0,1
35845,35910,35802,108,0,0,1
35984,35917,35802,116,0,0,1
35805,35906,35802,104,0,0,1
35885,35904,35802,102,0,0,1
35805,35894,35802,92,0,0,1
35964,35901,35802,99,0,0,1
35746,35886,35802,83,0,0,1
36322,35929,35803,126,0,0,1
36083,35945,35804,141,0,0,1
35865,35937,35804,133,0,0,1
35984,35941,35804,137,0,0,1
35845,35932,35804,127,0,0,1
35865,35925,35805,120,0,0,1
35805,35913,35805,108,0,0,1
35865,35908,35805,104,0,0,1
35805,35898,35805,93,0,0,1
35885,35897,35805,92,0,0,1
35845,35891,35805,86,0,0,1
35805,35883,35805,78,0,0,1
36481,35943,35806,136,0,0,1
35944,35943,35807,136,0,0,1
35805,35929,35807,122,0,0,1
35845,35921,35807,114,0,0,1
35865,35915,35807,108,0,0,1
35805,35904,35807,97,0,0,1
35865,35900,35807,93,0,0,1
35766,35887,35807,80,0,0,1
35845,35883,35807,76,0,0,1
35845,35879,35807,72,0,0,1
35805,35871,35807,64,0,0,1
36580,35942,35809,134,0,0,1
36004,35948,35809,140,0,0,1
35845,35938,35809,129,0,0,1
35885,35933,35809,124,0,0,1
35845,35924,35809,115,0,0,1
35845,35916,35809,107,0,0,1
35805,35905,35809,96,0,0,1
35766,35891,35809,82,0,0,1
35706,35873,35809,64,0,0,1
35865,35872,35809,63,0,0,1
35766,35861,35809,52,0,0,1
35805,35856,35809,47,0,0,1
36501,35920,35810,110,0,0,1
35865,35915,35811,104,0,0,1
35885,35912,35811,101,0,0,1
35865,35907,35811,96,0,0,1
35805,35897,35811,86,0,0,1
35845,35892,35811,81,0,0,1
35885,35891,35811,80,0,0,1
35805,35882,35811,71,0,0,1
35805,35875,35811,64,0,0,1
35805,35868,35811,57,0,0,1
35865,35867,35811,56,0,0,1
35805,35861,35811,50,0,0,1
35885,35864,35811,52,0,0,1
36640,35941,35813,128,0,0,1
35964,35943,35813,130,0,0,1
35885,35938,35813,124,0,0,1
35805,35924,35813,111,0,0,1
35805,35912,35813,99,0,0,1
35944,35916,35814,102,0,0,1
35845,35909,35814,95,0,0,1
35905,35908,35814,94,0,0,1
35805,35898,35814,84,0,0,1
35925,35901,35814,86,0,0,1
35805,35891,35814,77,0,0,1
35925,35894,35814,80,0,0,1
36342,35939,35815,124,0,0,1
36083,35954,35816,138,0,0,1
35885,35947,35816,131,0,0,1
35885,35940,35816,124,0,0,1
35865,35933,35816,117,0,0,1
35805,35920,35816,104,0,0,1
36004,35929,35817,112,0,0,1
35885,35924,35817,107,0,0,1
